zip_code,sources,fce,sar,violations,total,income_poverty_level,white_pct,black_pct,am_indian_ak_native_pct,asian_pct,hi_pc_islander_pct,other_pct
49735,46.0,60.0,76.0,9.0,19372.0,14.1,95.2,0.8,0.3,0.6,0.0,3.1
49512,35.0,43.0,62.0,34.0,17528.0,8.7,62.6,28.4,0.2,6.7,0.2,1.9
49423,28.0,38.0,50.0,16.0,41484.0,10.8,84.5,3.4,0.5,2.5,0.0,9.0
48170,26.0,25.0,36.0,14.0,39307.0,4.7,92.9,1.4,0.1,3.6,0.0,1.9
48326,24.0,20.0,30.0,15.0,22265.0,11.9,60.3,16.4,0.3,18.2,0.2,4.7
48150,23.0,18.0,30.0,3.0,25666.0,5.9,91.2,3.9,0.1,2.3,0.0,2.6
49464,23.0,40.0,44.0,9.0,28804.0,4.1,91.3,0.9,0.3,4.1,0.0,3.3000000000000003
48174,22.0,17.0,29.0,8.0,31324.0,16.2,61.6,32.4,0.1,2.1,0.0,3.8
49646,21.0,47.0,47.0,3.0,8157.0,16.7,95.9,0.5,0.8,0.7,0.0,2.1
48180,21.0,13.0,27.0,9.0,60488.0,16.6,75.3,19.1,0.4,1.5,0.0,3.8
49442,20.0,19.0,29.0,9.0,39182.0,22.5,71.4,20.5,0.8,0.2,0.0,7.0
49751,20.0,30.0,44.0,5.0,2016.0,10.4,97.0,0.0,1.6,0.6,0.1,0.5
48060,20.0,18.0,27.0,13.0,38525.0,22.7,83.9,7.6,0.2,1.3,0.1,6.8
49709,20.0,27.0,27.0,,3461.0,19.9,95.3,0.2,1.5,0.0,0.0,3.0
49120,18.0,20.0,24.0,14.0,35993.0,14.8,88.5,6.6,0.6,0.6,0.0,3.7
48393,18.0,20.0,35.0,12.0,17042.0,10.4,76.0,14.5,0.4,6.0,0.0,3.1
49601,18.0,27.0,37.0,10.0,21514.0,13.7,95.6,1.0,0.4,0.5,0.0,2.6
48071,18.0,6.0,19.0,7.0,29964.0,13.6,80.8,8.5,0.4,5.8,0.0,4.5
49548,17.0,24.0,34.0,16.0,33474.0,15.6,72.1,10.3,0.8,4.5,0.1,12.2
48701,17.0,2.0,32.0,54.0,1378.0,17.4,89.0,1.0,0.3,0.5,0.0,9.3
49424,17.0,7.0,18.0,7.0,48456.0,9.0,77.3,2.2,0.3,7.3,0.0,12.9
49221,17.0,19.0,23.0,10.0,35692.0,15.6,89.1,5.3,0.5,0.3,0.0,4.9
48001,17.0,1.0,10.0,4.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6
48906,16.0,13.0,29.0,10.0,26196.0,22.0,72.2,14.4,0.6,1.9,0.0,10.8
