id,name_x,zip_code,county,full_address,geometry,fce,sar,violations,total,income_poverty_level,white_pct,black_pct,am_indian_ak_native_pct,asian_pct,hi_pc_islander_pct,other_pct,srn,approved,years,years_converted,fce_per_year
A6260,ALGONAC CAST PRODUCTS INC,48001,SAINT CLAIR,"9300 STONE ROAD, ALGONAC, MI","[-82.54572189999999, 42.6299997]",0.0,1.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,A6260,2014-01-23,8.186341950895638,8.186341950895638,0.0
N6769,SUNSATION PRODUCTS INC,48001,SAINT CLAIR,"9635 KRETZ DR, ALGONAC, MI","[-82.5700738, 42.6222489]",0.0,2.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,N6769,2014-09-18,7.534720083232373,7.534720083232373,0.0
P1024,ALTA EQUIPMENT COMPANY,48001,KENT,"8840 BYRON COMMERCE DRIVE, BYRON CENTER, MI","[-85.6703763, 42.80414830000001]",0.0,0.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1024,2019-05-13,2.885753985365887,2.885753985365887,0.0
P1089,CARL SCHEGEL,48001,JACKSON,"4500 MANN ROAD, CONCORD, MI","[-84.68608139999999, 42.1971472]",0.0,0.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1089,2019-10-29,2.4230477011848293,2.4230477011848293,0.0
P1015,"ENBRIDGE ENERGY, LP",48001,IRON,"SEC 35, T43N, R32W, CRYSTAL FALLS, MI","[-88.3340242, 46.0980066]",0.0,0.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1015,2021-05-25,0.8514890791734259,0.8514890791734259,0.0
P1030,"MCCOIG MATERIALS, LLC",48001,WAYNE,"1441 SPRINGWELLS COURT, DETROIT, MI","[-83.10444849999999, 42.2901586]",0.0,1.0,1.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1030,2019-09-18,2.5353018884713583,2.5353018884713583,0.0
P1147,"ST. MARY'S CEMENT, INC.",48001,WAYNE,"9333 DEARBORN STREET, DETROIT, MI","[-83.1290408, 42.2929286]",0.0,0.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1147,2020-10-14,1.462042341731863,1.462042341731863,0.0
P1029,HAVILAND PRODUCTS COMPANY,48001,KALAMAZOO,"2722 NORTH BURDICK STREET, KALAMAZOO, MI","[-85.5831575, 42.318596]",0.0,1.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1029,2021-03-09,1.062307918711541,1.062307918711541,0.0
P1090,"GRAND RAPIDS CREMATORY, INC.",48001,KENT,"1649 VIEWPOND DRIVE SE, KENTWOOD, MI","[-85.62398549999999, 42.880871]",0.0,0.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1090,2019-11-26,2.346386304989151,2.346386304989151,0.0
P0998,MI GRAVEL DBA TCA MANAGEMENT LLC,48001,TUSCOLA,"10222 SHERIDAN ROAD, MILLINGTON, MI","[-83.482202, 43.2317725]",0.0,1.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P0998,2019-02-14,3.1266898019808758,3.1266898019808758,0.0
P1083,AMERICAN STATE EQUIPMENT,48001,MACKINAC,"W5340 HIAWATHA TRAIL, NAUBINWAY, MI","[-85.4165099, 46.1261833]",0.0,0.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1083,2019-10-08,2.4805437483315878,2.4805437483315878,0.0
P1091,EXOTIC RUBBER & PLASTICS,48001,OAKLAND,"53500 GRAND RIVER AVENUE, NEW HUDSON, MI","[-83.5813934, 42.5048647]",0.0,1.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1091,2020-02-13,2.130091651437059,2.130091651437059,0.0
P1112,"MAYZIE, INC. DBA PET PASSAGES",48001,OAKLAND,"4577 LAPEER ROAD, ORION TWP, MI","[-83.2413538, 42.7152162]",0.0,1.0,1.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1112,2020-06-02,1.8289218806683232,1.8289218806683232,0.0
P1000,"QUALITY ROASTING, LLC",48001,TUSCOLA,"135 S. BRADLEYVILLE ROAD, REESE, MI","[-83.62141240000001, 43.4917903]",0.0,1.0,2.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1000,2020-10-19,1.4483528066969205,1.4483528066969205,0.0
P1016,GREAT LAKES AGGREGATES - LIPPMANN PLANT,48001,MONROE,"5699 READY ROAD, S ROCKWOOD, MI","[-83.2707959, 42.0534786]",0.0,0.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1016,2019-04-17,2.9569395675475882,2.9569395675475882,0.0
P1005,INDEPENDENCE EXCAVATING,48001,OAKLAND,"I-75 AND WEST BIG BEAVER ROAD, TROY, MI","[-83.1638267, 42.6015988]",0.0,0.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1005,2019-03-19,3.0363388707502548,3.0363388707502548,0.0
P1019,"GROUND EFFECTS, LLC",48001,MACOMB,"1990 CONCEPT DRIVE, WARREN, MI","[-83.08143450000001, 42.4797386]",1.0,1.0,0.0,11818.0,9.9,97.0,0.1,0.6,0.6,0.1,1.6,P1019,2019-07-08,2.7324311929745306,2.7324311929745306,0.36597444889779557
N5696,ARMADA RUBBER MANUFACTURING CO,48005,MACOMB,"24586 ARMADA RIDGE RD, ARMADA, MI","[-82.8683528, 42.84543730000001]",0.0,1.0,0.0,5439.0,4.9,97.0,0.8,0.4,0.2,0.0,1.7,N5696,2016-06-13,5.7988870408016595,5.7988870408016595,0.0
B6636,CONSUMERS ENERGY - RAY COMPRESSOR STATION,48005,MACOMB,"69333  OMO RD., ARMADA, MI","[-82.86568450000001, 42.8107738]",1.0,1.0,2.0,5439.0,4.9,97.0,0.8,0.4,0.2,0.0,1.7,B6636,1998-04-06,23.986803288226316,9.0,0.1111111111111111
N7047,HILCO TECHNOLOGIES,48005,MACOMB,"15211 LAETHEM DRIVE, ARMADA, MI","[-82.9788531, 42.8139571]",2.0,2.0,0.0,5439.0,4.9,97.0,0.8,0.4,0.2,0.0,1.7,N7047,2017-02-01,5.160954708173337,5.160954708173337,0.387525198938992
P1160,KRAUSE VETERINARY CLINIC,48005,MACOMB,"72025 NORTH AVENUE, ARMADA, MI","[-82.887152, 42.8292101]",0.0,0.0,0.0,5439.0,4.9,97.0,0.8,0.4,0.2,0.0,1.7,P1160,2021-04-14,0.9637432664599547,0.9637432664599547,0.0
B6145,DTE ELECTRIC COMPANY - GREENWOOD ENERGY CENTER,48006,SAINT CLAIR,"7000  KILGORE ROAD, AVOCA, MI","[-82.6986921, 43.1067683]",3.0,3.0,0.0,4028.0,10.7,96.6,0.4,0.0,0.3,0.0,2.7,B6145,2001-07-19,20.701314879840105,9.0,0.3333333333333333
N7711,RGE AGGREGATES,48006,SAINT CLAIR,"8870 BRYCE RD, AVOCA, MI","[-82.6870964, 43.0188032]",0.0,1.0,0.0,4028.0,10.7,96.6,0.4,0.0,0.3,0.0,2.7,N7711,2006-10-24,15.436319705401207,9.0,0.0
B6481,ANR PIPELINE COMPANY - CAPAC COMPRESSOR STATION,48014,SAINT CLAIR,"4876  KETTLEHUT RD., CAPAC, MI","[-82.9483376, 43.0380328]",4.0,4.0,0.0,4097.0,7.9,92.0,0.2,0.1,0.0,0.0,7.6,B6481,2021-03-31,1.0020739645577939,1.0020739645577939,3.9917213114754095
B8337,ANR PIPELINE CO.-MUTTONVILLE COMPRESSOR STATION,48014,MACOMB,"36555  29 MILE RD., MUTTONVILLE, MI","[-82.7454606, 42.7694054]",5.0,4.0,1.0,4097.0,7.9,92.0,0.2,0.1,0.0,0.0,7.6,B8337,1997-10-24,24.43582003737243,9.0,0.5555555555555556
B6379,SODECIA NORTH AMERICA,48015,MACOMB,"24331 SHERWOOD AVE, CENTER LINE, MI","[-83.0373396, 42.4708422]",0.0,0.0,0.0,7954.0,9.7,70.2,21.9,0.0,3.9,0.1,3.9,B6379,2003-11-13,18.38230764492084,9.0,0.0
N6577,"ND INDUSTRIES,  INC.",48017,OAKLAND,"1000 N. CROOKS ROAD, CLAWSON, MI","[-83.1649838, 42.5411544]",4.0,3.0,2.0,11764.0,7.3,93.9,1.2,0.1,1.9,0.0,3.0,N6577,2008-09-05,13.569067126635044,9.0,0.4444444444444444
N0700,RBS CITIZENS NA,48021,MACOMB,"16410 STEPHENS RD, EASTPOINTE, MI","[-82.95123079999999, 42.4718916]",0.0,0.0,0.0,32205.0,16.2,45.6,47.9,1.3,0.8,0.0,4.3,N0700,2011-04-11,10.973531284009939,9.0,0.0
N5691,SUNOCO INC - REMEDIATION SYSTEM,48021,MACOMB,"25000 GRATIOT AVE, EASTPOINTE, MI","[-82.9471939, 42.480078]",0.0,0.0,0.0,32205.0,16.2,45.6,47.9,1.3,0.8,0.0,4.3,N5691,2006-11-22,15.35692040219854,9.0,0.0
N7011,GROSSO TRUCKING AND SUPPLY COMPANY,48023,SAINT CLAIR,"10015 MARINE CITY HIGHWAY, FAIR HAVEN, MI","[-82.71233099999999, 42.7206774]",0.0,1.0,1.0,5094.0,7.8,98.4,1.0,0.1,0.0,0.0,0.6000000000000001,N7011,2001-08-21,20.610963948609484,9.0,0.0
B6637,CONSUMERS ENERGY - ST. CLAIR COMPRESSOR STATION,48023,SAINT CLAIR,"10021  MARINE CITY HWY., IRA TWP, MI","[-82.7155665, 42.7195128]",2.0,2.0,2.0,5094.0,7.8,98.4,1.0,0.1,0.0,0.0,0.6000000000000001,B6637,1998-04-06,23.986803288226316,9.0,0.2222222222222222
B2429,FAURECIA INTERIOR SYSTEMS,48026,MACOMB,"17801 EAST FOURTEEN MILE RD, FRASER, MI","[-82.939064, 42.5412429]",3.0,3.0,0.0,14467.0,9.9,89.4,5.0,0.4,2.1,0.0,3.1,B2429,2017-08-21,4.610635399768647,4.610635399768647,0.6506695368171022
P0288,FAURECIA INTERIOR SYSTEMS INC.,48026,MACOMB,"17085 MASONIC BLVD, FRASER, MI","[-82.9451143, 42.5324651]",0.0,0.0,0.0,14467.0,9.9,89.4,5.0,0.4,2.1,0.0,3.1,P0288,2011-11-01,10.414998254584283,9.0,0.0
N7535,"GF FOUNDRY PROTOTYPES, INC.",48026,MACOMB,"33670 RIVIERA, FRASER, MI","[-82.9379716, 42.5438442]",0.0,0.0,0.0,14467.0,9.9,89.4,5.0,0.4,2.1,0.0,3.1,N7535,2006-03-09,16.063300410001574,9.0,0.0
N7039,MOLD-TECH MICHIGAN,48026,MACOMB,"34497 KELLY ROAD, FRASER, MI","[-82.9311642, 42.55066679999999]",0.0,0.0,0.0,14467.0,9.9,89.4,5.0,0.4,2.1,0.0,3.1,N7039,2017-11-01,4.4135060952654745,4.4135060952654745,0.0
N1443,PALMER PROMOTIONAL PRODUCTS,48026,MACOMB,"33525  GROESBECK HWY., FRASER, MI","[-82.93266799999999, 42.544096]",1.0,1.0,0.0,14467.0,9.9,89.4,5.0,0.4,2.1,0.0,3.1,N1443,2016-08-30,5.585330294256556,5.585330294256556,0.17904044117647058
N0146,SPECIALTY STEEL TREATING INC,48026,MACOMB,"17555 MALYN ST, FRASER, MI","[-82.93998839999999, 42.55022049999999]",0.0,0.0,0.0,14467.0,9.9,89.4,5.0,0.4,2.1,0.0,3.1,N0146,2006-08-31,15.584166683778585,9.0,0.0
