date_of_evaluation,srn,facility_name,district,epa_class,duration_to_date
2011-07-12,A6466,"TTOD Liquidation, Inc.",Bay City,MAJOR,10.8
2016-05-11,N0246,HD INDUSTRIES,Detroit,MAJOR,5.96
2018-10-04,N6004,City of Midland Utilities Division,Bay City,MAJOR,3.56
2019-06-27,N3570,GENESEE POWER STATION LIMITED PARTNERSHIP,Lansing,MAJOR,2.84
2019-10-15,A8217,McLAREN PERFORMANCE TECHNOLOGIES,Detroit,MAJOR,2.54
2019-10-16,M4777,BASF CORP,Detroit,MAJOR,2.53
2019-10-29,N7362,GRAYMONT WESTERN LIME INC,Marquette,MAJOR,2.5
2019-11-05,B1966,WHITE PINE ELECTRIC POWER LLC,Marquette,MAJOR,2.48
2019-11-25,N7463,RIVERSIDE - ELMER FUDD EAST CPF,Gaylord,MAJOR,2.42
2019-12-02,B1470,NEENAH PAPER - MICHIGAN INC,Marquette,MAJOR,2.4
2019-12-04,B5830,AJAX METAL PROCESSING INC.,Detroit,MAJOR,2.4
2019-12-11,N7679,RACK PROCESSING MICHIGAN LCC,Grand Rapids,MAJOR,2.38
2019-12-20,N5991,"Citizens Disposal, Inc.",Lansing,MAJOR,2.35
2020-01-09,A9365,"AKWEL CADILLAC USA, INC.",Gaylord,MAJOR,2.3
2020-01-13,A0884,Verso Escanaba LLC,Marquette,MAJOR,2.29
2020-01-21,N1794,"Atlas EPS, a Division of Atlas Roofing Corp.",Grand Rapids,MAJOR,2.27
2020-02-06,N6327,"FEDERAL-MOGUL POWERTRAIN, LLC",Detroit,MAJOR,2.22
2020-02-11,B7013,"Huron Casting, Inc (Blue Diamond Steel Casting)",Bay City,MAJOR,2.21
2020-02-25,N6731,CMS Generation Kalamazoo River Generating Station,Kalamazoo,MAJOR,2.17
2020-03-05,B9073,MPLX Terminals LLC - Niles Terminal,Kalamazoo,MAJOR,2.15
2020-03-03,N3634,HARLAND SANITARY LANDFILL/MANISTEE COUNTY LANDFILL,Cadillac,MAJOR,2.15
2020-03-03,N5573,Consumers Energy - White Pigeon Compressor Station,Kalamazoo,MAJOR,2.15
2020-03-05,A1991,"Kalsec, Incorporated",Kalamazoo,MAJOR,2.15
2020-03-09,M4734,FORD MOTOR CO AUTO TRANSMISSION NEW PRODUCT CENTER,Detroit,MAJOR,2.14
2020-03-11,N2896,C&C Expanded Sanitary Landfill,Kalamazoo,MAJOR,2.13
2020-03-11,P0222,C&C Energy LLC,Kalamazoo,MAJOR,2.13
2020-04-20,N6838,"Vector Pipeline L.P., Highland Compressor Station",Warren,MAJOR,2.02
2020-04-20,N7624,VECTOR PIPELINE L.P. Washington Compressor Station,Warren,MAJOR,2.02
