name,doc_type,date,zip_code,county,full_address,source_id,geometry,doc_url
"MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",FCE,2017-03-29,48813.0,OTSEGO,"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI",P0195,"[-85.8690933, 43.158429]",https://www.egle.state.mi.us/aps/downloads/srn/P0195/P0195_FCE_20170329.pdf
"MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",SAR,2019-10-03,48813.0,OTSEGO,"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI",P0195,"[-85.8690933, 43.158429]",https://www.egle.state.mi.us/aps/downloads/srn/P0195/P0195_SAR_20191003.pdf
"MUSKEGON OPERATING COMPANY, LLC - GINGEL LAKE",SAR,2020-10-07,48813.0,OTSEGO,"NE SW SE SEC 14 T30N R2W, CHESTER TWP, MI",P0195,"[-85.8690933, 43.158429]",https://www.egle.state.mi.us/aps/downloads/srn/P0195/P0195_SAR_20201007.pdf
"MUSKEGON DEVELOPMENT, DOVER FACILITY",FCE,2016-11-03,48617.0,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI",N7828,"[-84.16461629999999, 41.87079440000001]",https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_FCE_20161103.pdf
"MUSKEGON DEVELOPMENT, DOVER FACILITY",FCE,2020-10-07,48617.0,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI",N7828,"[-84.16461629999999, 41.87079440000001]",https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_FCE_20201007.pdf
"MUSKEGON DEVELOPMENT, DOVER FACILITY",SAR,2016-11-03,48617.0,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI",N7828,"[-84.16461629999999, 41.87079440000001]",https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_SAR_20161103.pdf
"MUSKEGON DEVELOPMENT, DOVER FACILITY",SAR,2019-10-15,48617.0,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI",N7828,"[-84.16461629999999, 41.87079440000001]",https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_SAR_20191015.pdf
"MUSKEGON DEVELOPMENT, DOVER FACILITY",SAR,2020-10-07,48617.0,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI",N7828,"[-84.16461629999999, 41.87079440000001]",https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_SAR_20201007.pdf
"MUSKEGON DEVELOPMENT, DOVER FACILITY",VN,2016-05-31,48617.0,OTSEGO,"NE 1/4 SEC 30 T31N R2W, DOVER TWP, MI",N7828,"[-84.16461629999999, 41.87079440000001]",https://www.egle.state.mi.us/aps/downloads/srn/N7828/N7828_VN_20160531.pdf
"MUSKEGON DEVELOPMENT, OTSEGO LAKE FACILITY",FCE,2017-01-12,49601.0,OTSEGO,"SW 1/4 NE 1/4 SW 1/4 SEC 6, OTSEGO LAKE, MI",N7834,"[-84.69252999999999, 44.9169578]",https://www.egle.state.mi.us/aps/downloads/srn/N7834/N7834_FCE_20170112.pdf
"MUSKEGON DEVELOPMENT, OTSEGO LAKE FACILITY",SAR,2017-01-11,49601.0,OTSEGO,"SW 1/4 NE 1/4 SW 1/4 SEC 6, OTSEGO LAKE, MI",N7834,"[-84.69252999999999, 44.9169578]",https://www.egle.state.mi.us/aps/downloads/srn/N7834/N7834_SAR_20170111.pdf
"MUSKEGON DEVELOPMENT, OTSEGO LAKE FACILITY",SAR,2020-07-21,49601.0,OTSEGO,"SW 1/4 NE 1/4 SW 1/4 SEC 6, OTSEGO LAKE, MI",N7834,"[-84.69252999999999, 44.9169578]",https://www.egle.state.mi.us/aps/downloads/srn/N7834/N7834_SAR_20200721.pdf
ALGONAC CAST PRODUCTS INC,SAR,2014-08-27,48001.0,SAINT CLAIR,"9300 STONE ROAD, ALGONAC, MI",A6260,"[-82.54572189999999, 42.6299997]",https://www.egle.state.mi.us/aps/downloads/srn/A6260/A6260_SAR_20140827.pdf
SUNSATION PRODUCTS INC,SAR,2015-04-16,48001.0,SAINT CLAIR,"9635 KRETZ DR, ALGONAC, MI",N6769,"[-82.5700738, 42.6222489]",https://www.egle.state.mi.us/aps/downloads/srn/N6769/N6769_SAR_20150416.pdf
SUNSATION PRODUCTS INC,SAR,2020-07-29,48001.0,SAINT CLAIR,"9635 KRETZ DR, ALGONAC, MI",N6769,"[-82.5700738, 42.6222489]",https://www.egle.state.mi.us/aps/downloads/srn/N6769/N6769_SAR_20200729.pdf
"MCCOIG MATERIALS, LLC",RVN,2019-09-09,48001.0,WAYNE,"1441 SPRINGWELLS COURT, DETROIT, MI",P1030,"[-83.10444849999999, 42.2901586]",https://www.egle.state.mi.us/aps/downloads/srn/P1030/P1030_RVN_20190909.pdf
"MCCOIG MATERIALS, LLC",SAR,2019-06-03,48001.0,WAYNE,"1441 SPRINGWELLS COURT, DETROIT, MI",P1030,"[-83.10444849999999, 42.2901586]",https://www.egle.state.mi.us/aps/downloads/srn/P1030/P1030_SAR_20190603.pdf
"MCCOIG MATERIALS, LLC",VN,2019-08-21,48001.0,WAYNE,"1441 SPRINGWELLS COURT, DETROIT, MI",P1030,"[-83.10444849999999, 42.2901586]",https://www.egle.state.mi.us/aps/downloads/srn/P1030/P1030_VN_20190821.pdf
