company,srn,address,city,zip_code,pti_no.,approved,notes
"RIVERSIDE ENERGY MICHIGAN, LLC",N8170,SECTION 32 - MOUNT MARIA CPF,ALCONA TOWNSHIP,48721,329-08,12/17/2008,
"LAMBDA ENERGY RESOURCES, LLC",N7470,"SW SW NW SEC 10, T28N - CALEDONIA",CALEDONIA TOWNSHIP,49735,109-05,7/6/2005,
TRENDWELL ENERGY CORPORATION,N7901,"NW NE SEC 20, T8N, R6E - WOLF CREEK",CALEDONIA TOWNSHIP,48762,349-07,1/9/2008,
RIVERSIDE ENERGY MICHIGAN,N8070,"NW NE SEC 20, T8N, R6E",CALEDONIA TOWNSHIP,48619,188-08,6/30/2008,
"LAMBDA ENERGY RESOURCES, LLC",N8074,"SW 1/4 SE 1/4 NE 1/4 SEC 8, T28N, R8E -",CALEDONIA TOWNSHIP,49316,199-08A,1/14/2011,
"RIVERSIDE ENERGY MICHIGAN, LLC",N8181,SE 1/4 SW 1/4 SW 1/4 SEC 6 - NORTH BAY,CALEDONIA TOWNSHIP,48762,344-08A,8/18/2009,
"RIETH-RILEY CONSTRUCTION COMPANY,",N1357,SECTION 17 - STAR TOWNSHIP,GREENBUSH TOWNSHIP,48738,276-87M,7/15/2004,
VIKING ENERGY OF LINCOLN,N0890,509 W STATE STREET,LINCOLN,48742,260-86C,1/30/1997,Rolled into ROP
VIKING ENERGY OF LINCOLN,N0890,509 W STATE STREET,LINCOLN,48742,260-86D,7/31/2000,Rolled into ROP
VIKING ENERGY OF LINCOLN,N0890,509 W STATE STREET,LINCOLN,48742,45-06,4/13/2006,Rolled into ROP
VIKING ENERGY OF LINCOLN,N0890,509 W STATE STREET,LINCOLN,48742,45-06B,9/9/2011,Rolled into ROP
"NEENAH PAPER - MICHIGAN, INC",B1470,501 E MUNISING AVENUE,MUNISING,49862,24-15,4/20/2015,Rolled into ROP
"NEENAH PAPER - MICHIGAN, INC",B1470,501 E MUNISING AVENUE,MUNISING,49862,108-16,11/29/2016,
"NEENAH PAPER - MICHIGAN, INC",B1470,501 E MUNISING AVENUE,MUNISING,49862,108-16A,4/4/2019,Rolled into ROP
TIMBER PRODUCTS MICHIGAN,B1471,M-28 EAST,MUNISING,49862,292-96,1/2/1997,
"RAPA ELECTRIC, INC",B6256,1173 LINCOLN ROAD,ALLEGAN,49010,29-09,5/14/2009,
PERRIGO COMPANY,B7276,655 HOOKER ROAD,ALLEGAN,49010,416-93J,11/16/2020,
"PERRIGO COMPANY, PLC",B7276,515 EASTERN AVENUE,ALLEGAN,49010,208-89D,12/27/2019,
"AGGREGATE RESOURCES, INC",N3177,44TH STREET,ALLEGAN,49024,36-01,1/23/2001,General PTI
