company,srn,address,city,zip_code,county,pti_no.,approved,notes,flag,full_address
MENASHA CORPORATION,A0023,320 N FARMER STREET,OTSEGO,49078,ALLEGAN,152-96B,4/12/01,Rolled into ROP,0,"320 N FARMER STREET, OTSEGO, MI 49078"
MENASHA CORPORATION,A0023,320 N FARMER STREET,OTSEGO,49078,ALLEGAN,222-94A,10/18/02,Rolled into ROP,0,"320 N FARMER STREET, OTSEGO, MI 49078"
"OTSEGO PAPER, INC",A0023,320 N FARMER STREET,OTSEGO,49078,ALLEGAN,60-03A,5/14/07,Rolled into ROP,0,"320 N FARMER STREET, OTSEGO, MI 49078"
"OTSEGO PAPER, INC",A0023,320 N FARMER STREET,OTSEGO,49078,ALLEGAN,193-19A,4/22/21,Rolled into ROP,0,"320 N FARMER STREET, OTSEGO, MI 49078"
"SODUS HARD CHROME, INC",A0083,3085 YORE AVENUE,SODUS,49126,BERRIEN,2-00A,1/14/15,,0,"3085 YORE AVENUE, SODUS, MI 49126"
"PANEL PROCESSING, INC",A0085,120 N INDUSTRIAL HIGHWAY,ALPENA,49707,ALPENA,243-09A,4/27/16,,0,"120 N INDUSTRIAL HIGHWAY, ALPENA, MI 49707"
EVERETT GOODRICH TRUCKING,A0098,5614 WESSEL ROAD,ALPENA,49707,ALPENA,221-99A,11/29/04,,0,"5614 WESSEL ROAD, ALPENA, MI 49707"
BESSER COMPANY,A0099,801 JOHNSON STREET,ALPENA,49707,ALPENA,176-00,8/8/00,,0,"801 JOHNSON STREET, ALPENA, MI 49707"
BRADFORD-WHITE CORPORATION,A0169,200 LAFAYETTE STREET,MIDDLEVILLE,49333,BARRY,207-04D,3/4/19,,0,"200 LAFAYETTE STREET, MIDDLEVILLE, MI 49333"
HASTINGS MANUFACTURING COMPANY,A0171,325 N HANOVER STREET,HASTINGS,49058,BARRY,277-86A,3/19/21,,0,"325 N HANOVER STREET, HASTINGS, MI 49058"
"BAY CAST, INC",A0233,400 WEBSTER STREET,BAY CITY,48708,BAY,1083-89A,8/5/08,,0,"400 WEBSTER STREET, BAY CITY, MI 48708"
OLD EUROPE CHEESE,A0301,1330 E EMPIRE AVENUE,BENTON HARBOR,49022,BERRIEN,36-09,4/1/09,,0,"1330 E EMPIRE AVENUE, BENTON HARBOR, MI 49022"
"VAIL RUBBER WORKS, INC",A0357,521 LANGLEY AVENUE,SAINT JOSEPH,49085,BERRIEN,508-95C,10/25/07,,0,"521 LANGLEY AVENUE, SAINT JOSEPH, MI 49085"
NEW PRODUCTS CORPORATION,A0380,448 N SHORE DRIVE,BENTON HARBOR,49022,BERRIEN,22-01,5/31/01,,0,"448 N SHORE DRIVE, BENTON HARBOR, MI 49022"
LECO CORPORATION,A0394,3000 LAKEVIEW AVENUE,SAINT JOSEPH,49085,BERRIEN,82-07,2/28/07,General PTI,0,"3000 LAKEVIEW AVENUE, SAINT JOSEPH, MI 49085"
LECO CORPORATION,A0394,3000 LAKEVIEW AVENUE,SAINT JOSEPH,49085,BERRIEN,103-07A,5/11/20,,0,"3000 LAKEVIEW AVENUE, SAINT JOSEPH, MI 49085"
GAST MANUFACTURING CORPORATION,A0404,2300 M-139,BENTON HARBOR,49023,BERRIEN,173-04,9/7/04,,0,"2300 M-139, BENTON HARBOR, MI 49023"
"POLY GREEN FOAM, LLC",A0531,325 JAY STREET,COLDWATER,49036,BRANCH,48-09,4/21/09,,0,"325 JAY STREET, COLDWATER, MI 49036"
BRONSON PLATING COMPANY,A0547,135 INDUSTRIAL AVENUE,BRONSON,49028,BRANCH,330-99,11/19/99,,0,"135 INDUSTRIAL AVENUE, BRONSON, MI 49028"
BRONSON PLATING COMPANY,A0547,135 INDUSTRIAL AVENUE,BRONSON,49028,BRANCH,332-99,11/19/99,,0,"135 INDUSTRIAL AVENUE, BRONSON, MI 49028"
BRONSON PLATING COMPANY,A0547,135 INDUSTRIAL AVENUE,BRONSON,49028,BRANCH,331-99,11/19/99,,0,"135 INDUSTRIAL AVENUE, BRONSON, MI 49028"
BRONSON PLATING COMPANY,A0547,135 INDUSTRIAL AVENUE,BRONSON,49028,BRANCH,333-99,11/19/99,,0,"135 INDUSTRIAL AVENUE, BRONSON, MI 49028"
EAB FABRICATION,A0556,150 S MAIN STREET,QUINCY,49082,BRANCH,202-18,12/12/18,General PTI,0,"150 S MAIN STREET, QUINCY, MI 49082"
"KELLOGG USA, INC",A0563,425 PORTER STREET,BATTLE CREEK,49014,CALHOUN,9-08L,5/11/18,,0,"425 PORTER STREET, BATTLE CREEK, MI 49014"
"A C FOUNDRY, INC",A0614,1146 N RAYMOND ROAD,BATTLE CREEK,49017,CALHOUN,180-06A,2/17/09,,0,"1146 N RAYMOND ROAD, BATTLE CREEK, MI 49017"
MELLING ENGINEERED ALUMINUM CASTINGS,A0614,1146 N RAYMOND ROAD,BATTLE CREEK,48001,CALHOUN,72-19,6/21/19,,0,"1146 N RAYMOND ROAD, BATTLE CREEK, MI 48001"
"AXIUM GROUP, LLC",A0703,708 SHERMAN LANE,CASSOPOLIS,49031,CASS,32-17,6/5/17,,0,"708 SHERMAN LANE, CASSOPOLIS, MI 49031"
"AXIUM GROUP, LLC",A0703,708 SHERMAN LANE,CASSOPOLIS,49031,CASS,200-18,5/15/19,,0,"708 SHERMAN LANE, CASSOPOLIS, MI 49031"
AMERIWOOD INDUSTRIES,A0749,202 SPAULDING STREET,DOWAGIAC,49047,CASS,22-18,11/1/18,,0,"202 SPAULDING STREET, DOWAGIAC, MI 49047"
"ALP LIGHTING COMPONENTS, INC",A0775,10163 US-31 NORTH,CHARLEVOIX,49720,CHARLEVOIX,24-08,1/28/08,General PTI,0,"10163 US-31 NORTH, CHARLEVOIX, MI 49720"
"MACO TOOL & ENGINEERING, INC",A0859,210 SPRING STREET,SAINT JOHNS,48879,CLINTON,476-80A,2/25/15,,0,"210 SPRING STREET, SAINT JOHNS, MI 48879"
"STEPHAN WOOD PRODUCTS, INC",A0869,609 HURON STREET,GRAYLING,49738,CRAWFORD,251-95,3/25/97,,0,"609 HURON STREET, GRAYLING, MI 49738"
ESCANABA PAPER COMPANY,A0884,"SEC 1, T39N, R23W",WELLS TOWNSHIP,49829,DELTA,16-70N,3/16/01,Rolled into ROP,0,"SEC 1, T39N, R23W, WELLS TOWNSHIP, MI 49829"
ESCANABA PAPER COMPANY,A0884,7100 COUNTY ROAD 426,ESCANABA,49829,DELTA,1-Sep,3/16/01,Rolled into ROP,0,"7100 COUNTY ROAD 426, ESCANABA, MI 49829"
ESCANABA PAPER COMPANY,A0884,7100 COUNTY ROAD 426,ESCANABA,49829,DELTA,96-02,5/22/02,Rolled into ROP,0,"7100 COUNTY ROAD 426, ESCANABA, MI 49829"
ESCANABA PAPER COMPANY,A0884,7100 COUNTY ROAD 426,ESCANABA,49829,DELTA,56-06,6/23/06,Rolled into ROP,0,"7100 COUNTY ROAD 426, ESCANABA, MI 49829"
ESCANABA PAPER COMPANY,A0884,7100 COUNTY ROAD 426,ESCANABA,49829,DELTA,192-06,8/29/06,Rolled into ROP,0,"7100 COUNTY ROAD 426, ESCANABA, MI 49829"
