source_id,fce,id,county
,,A6260,SAINT CLAIR
,,N6769,SAINT CLAIR
,,P1024,KENT
,,P1089,JACKSON
,,P1015,IRON
,,P1030,WAYNE
,,P1147,WAYNE
,,P1029,KALAMAZOO
,,P1090,KENT
,,P0998,TUSCOLA
,,P1083,MACKINAC
,,P1091,OAKLAND
,,P1112,OAKLAND
,,P1000,TUSCOLA
,,P1016,MONROE
,,P1005,OAKLAND
,,N5696,MACOMB
,,P1160,MACOMB
,,N7711,SAINT CLAIR
,,B6379,MACOMB
,,N0700,MACOMB
,,N5691,MACOMB
,,N7011,SAINT CLAIR
,,P0288,MACOMB
,,N7535,MACOMB
,,N7039,MACOMB
,,N0146,MACOMB
,,B6501,MACOMB
,,P1217,OAKLAND
,,B7773,OAKLAND
,,N6385,SAINT CLAIR
,,N7977,OAKLAND
,,N8193,OAKLAND
,,P0113,OAKLAND
,,N6594,OAKLAND
,,M4226,MACOMB
,,N7548,MACOMB
,,P1223,MACOMB
,,N7496,MACOMB
,,P0993,MACOMB
,,P1195,MACOMB
,,N5766,MACOMB
,,N7369,MACOMB
,,M3511,MACOMB
,,N5767,MACOMB
,,N3686,MACOMB
,,N7745,MACOMB
,,M3517,MACOMB
,,N7219,SAINT CLAIR
,,B2813,SAINT CLAIR
,,N6905,SAINT CLAIR
,,N5989,SAINT CLAIR
,,N7411,SAINT CLAIR
,,N3337,SAINT CLAIR
,,A3238,SAINT CLAIR
,,P0457,MACOMB
,,N7546,MACOMB
,,N6509,MACOMB
,,N8279,MACOMB
,,N3308,MACOMB
,,F2181,MACOMB
,,N6908,MACOMB
,,N6938,MACOMB
,,N1202,MACOMB
,,P0303,MACOMB
,,P0885,MACOMB
,,B6425,MACOMB
,,P1034,SAINT CLAIR
,,N5722,MACOMB
,,N5706,MACOMB
,,N7705,MACOMB
,,P1021,MACOMB
,,P0187,SAINT CLAIR
,,N4013,SAINT CLAIR
,,P0782,SAINT CLAIR
,,B7281,SAINT CLAIR
,,N8183,SAINT CLAIR
,,P0865,SAINT CLAIR
,,A6237,SAINT CLAIR
,,N5671,SAINT CLAIR
,,N3255,SAINT CLAIR
,,N8020,SAINT CLAIR
,,N3277,SAINT CLAIR
,,B8626,SAINT CLAIR
,,P1213,SAINT CLAIR
,,P1214,SAINT CLAIR
,,P1159,VAN BUREN
,,P0746,SAINT CLAIR
,,P0414,MACOMB
,,B2869,MACOMB
,,N5718,MACOMB
,,B6273,MACOMB
,,B3000,MACOMB
,,B1774,MACOMB
,,N3837,MACOMB
,,N8010,MACOMB
,,N7896,MACOMB
,,N6658,MACOMB
,,N8008,OAKLAND
,,M4023,OAKLAND
,,N0072,OAKLAND
