srn,city,approved,notes,id,name,zip_code,county,full_address,geometry,source_id,fce
N8170,ALCONA TOWNSHIP,12/17/2008,,N8170,RIVERSIDE - MT. MARIA CPF,48721.0,ALCONA,"MT. MARIA CPF NE NE OF SEC 32 T28N R7E, ALCONA, MI","[-83.60223979999999, 44.6727944]",N8170,2.0
N7470,CALEDONIA TOWNSHIP,7/6/2005,,N7470,"LAMBDA ENERGY RESOURCES, LLC - CALEDONIA 10 & 11",49747.0,ALCONA,"4409 FRUCHEY RANCH RD., CALEDONIA TWP, MI","[-83.7116217, 44.8361561]",N7470,2.0
N7901,CALEDONIA TOWNSHIP,1/9/2008,,N7901,TRENDWELL ANTRIM INC - WOLF CREEK CPF,48762.0,ALCONA,"NW NE SEC 20, CALEDONIA TWP, MI","[-99.9018131, 41.4925374]",N7901,2.0
N8070,CALEDONIA TOWNSHIP,6/30/2008,,N8070,"RIVERSIDE ENERGY MICHIGAN, LLC - NEW CALEDONIA CPF",48619.0,ALCONA,"NW NE SEC 20 T8N R6E, CALEDONIA TWP, MI","[-99.9018131, 41.4925374]",N8070,2.0
N8074,CALEDONIA TOWNSHIP,1/14/2011,,N8074,"LAMBDA ENERGY RESOURCES, LLC - BLUE SPRUCE",49316.0,ALCONA,"SW SE NE, T28N-R8E, SECTION 8, CALEDONIA TWP, MI","[-85.5178656, 42.789231]",N8074,1.0
N8181,CALEDONIA TOWNSHIP,8/18/2009,,N8181,RIVERSIDE - NORTH BAY CPF,48762.0,ALCONA,"T28N-R7E, SE SW SW OF SEC 6, CALEDONIA TWP, MI","[-85.47880649999999, 42.8137228]",,0.0
N1357,GREENBUSH TOWNSHIP,7/15/2004,,N1357,RIETH-RILEY CONSTRUCTION CO INC,49720.0,CHARLEVOIX,"06795 US 31 NORTH, BAY SHORE, MI","[-85.1130177, 45.3615196]",N1357,1.0
N0890,LINCOLN,1/30/1997,Rolled into ROP,N0890,"VIKING ENERGY OF LINCOLN, LLC",48742.0,ALCONA,"509  W. STATE ST., LINCOLN, MI","[-83.4186849, 44.6801785]",N0890,4.0
N0890,LINCOLN,7/31/2000,Rolled into ROP,N0890,"VIKING ENERGY OF LINCOLN, LLC",48742.0,ALCONA,"509  W. STATE ST., LINCOLN, MI","[-83.4186849, 44.6801785]",N0890,4.0
N0890,LINCOLN,4/13/2006,Rolled into ROP,N0890,"VIKING ENERGY OF LINCOLN, LLC",48742.0,ALCONA,"509  W. STATE ST., LINCOLN, MI","[-83.4186849, 44.6801785]",N0890,4.0
N0890,LINCOLN,9/9/2011,Rolled into ROP,N0890,"VIKING ENERGY OF LINCOLN, LLC",48742.0,ALCONA,"509  W. STATE ST., LINCOLN, MI","[-83.4186849, 44.6801785]",N0890,4.0
B1470,MUNISING,4/20/2015,Rolled into ROP,B1470,NEENAH PAPER - MICHIGAN INC,49862.0,ALGER,"501 E MUNISING AVE, MUNISING, MI","[-86.6455522, 46.4085677]",B1470,3.0
B1470,MUNISING,11/29/2016,,B1470,NEENAH PAPER - MICHIGAN INC,49862.0,ALGER,"501 E MUNISING AVE, MUNISING, MI","[-86.6455522, 46.4085677]",B1470,3.0
B1470,MUNISING,4/4/2019,Rolled into ROP,B1470,NEENAH PAPER - MICHIGAN INC,49862.0,ALGER,"501 E MUNISING AVE, MUNISING, MI","[-86.6455522, 46.4085677]",B1470,3.0
B1471,MUNISING,1/2/1997,,B1471,TIMBER PRODUCTS MICHIGAN,49862.0,ALGER,"HIGHWAY M-28, MUNISING, MI","[-86.6495845, 46.4098912]",B1471,2.0
B6256,ALLEGAN,5/14/2009,,B6256,RAPA ELECTRIC,49010.0,ALLEGAN,"1173 LINCOLN RD, ALLEGAN, MI","[-85.8035779, 42.5061172]",,0.0
B7276,ALLEGAN,11/16/2020,,B7276,L PERRIGO CO,49010.0,ALLEGAN,"515 EASTERN AVENUE, ALLEGAN, MI","[-85.8374704, 42.5280548]",,0.0
B7276,ALLEGAN,12/27/2019,,B7276,L PERRIGO CO,49010.0,ALLEGAN,"515 EASTERN AVENUE, ALLEGAN, MI","[-85.8374704, 42.5280548]",,0.0
N3177,ALLEGAN,1/23/2001,General PTI,,,,,,,,
N6727,ALLEGAN,7/6/2011,,N6727,MULTI PACKAGING SOLUTIONS,49010.0,ALLEGAN,"504 EASTERN AVENUE, ALLEGAN, MI","[-85.8366453, 42.5237915]",,0.0
P0254,ALLEGAN,2/10/2016,General PTI,P0254,ROPES COURSES INCORPORATED,49010.0,ALLEGAN,"1300 LINCOLN ROAD, ALLEGAN, MI","[-85.8299243, 42.512217]",,0.0
P0254,ALLEGAN,3/1/2018,General PTI,P0254,ROPES COURSES INCORPORATED,49010.0,ALLEGAN,"1300 LINCOLN ROAD, ALLEGAN, MI","[-85.8299243, 42.512217]",,0.0
P0897,ALLEGAN,3/1/2018,General PTI,P0897,ROPES COURSES INC.,49010.0,ALLEGAN,"248 NORTH STREET, ALLEGAN, MI","[-85.85007329999999, 42.5367398]",,0.0
P1129,ALLEGAN,8/10/2020,,P1129,ADVANCED ARCHITECTURAL PRODUCTS,49010.0,ALLEGAN,"959 INDUSTRIAL DRIVE, ALLEGAN, MI","[-85.8377057, 42.5467248]",,0.0
N6901,CHESHIRE TOWNSHIP,11/8/2000,General PTI,,,,,,,,
N6902,CHESHIRE TOWNSHIP,11/8/2000,General PTI,,,,,,,,
N1263,DOUGLAS,5/9/2005,,N1263,DOUGLAS MARINE,49406.0,ALLEGAN,"6780 ENTERPRISE, DOUGLAS, MI","[-86.2096554, 42.6308795]",,0.0
B2359,FENNVILLE,2/24/1997,,B2359,"CONAGRA FOODS PACKAGED FOODS, LLC",49408.0,ALLEGAN,"100 SHERMAN RD., FENNVILLE, MI","[-86.1018497, 42.5927344]",B2359,1.0
N0547,HAMILTON,2/21/2006,,N0547,DARLING INGREDIENTS INC.,49419.0,ALLEGAN,"5900 OLD ALLEGAN RD, HAMILTON, MI","[-86.12424840000001, 42.6473108]",,0.0
N0547,HAMILTON,5/28/2020,,N0547,DARLING INGREDIENTS INC.,49419.0,ALLEGAN,"5900 OLD ALLEGAN RD, HAMILTON, MI","[-86.12424840000001, 42.6473108]",,0.0
N5574,HAMILTON,2/4/2021,,N5574,ANR PIPELINE COMPANY - HAMILTON COMPRESSOR STATION,49419.0,ALLEGAN,"4193  134TH AVE, HAMILTON, MI","[-85.9556317, 42.6680112]",N5574,3.0
N5792,HAMILTON,6/11/2020,,N5792,CONSUMERS ENERGY - OVERISEL COMPRESSOR STATION,49419.0,ALLEGAN,"4131 138TH AVE., HAMILTON, MI","[-85.95093229999999, 42.69718719999999]",N5792,3.0
P0686,HAMILTON,10/4/2019,,P0686,ADVANCED ARCHITECTUAL PRODUCTS,49419.0,ALLEGAN,"3393 S M-40, HAMILTON, MI","[-85.98992919999999, 42.6628693]",,0.0
B5453,HOLLAND,4/8/2010,,B5453,COASTAL CONTAINER CORP,49423.0,ALLEGAN,"1201 INDUSTRIAL AVE, HOLLAND, MI","[-86.0870047, 42.7574299]",,0.0
B6614,HOLLAND,5/29/2003,Rolled into ROP,B6614,HOLLAND PANEL PRODUCTS,49423.0,ALLEGAN,"615 E 40TH ST, HOLLAND, MI","[-86.0802211, 42.7621969]",B6614,3.0
B6614,HOLLAND,3/21/2011,Rolled into ROP,B6614,HOLLAND PANEL PRODUCTS,49423.0,ALLEGAN,"615 E 40TH ST, HOLLAND, MI","[-86.0802211, 42.7621969]",B6614,3.0
B6614,HOLLAND,12/21/2021,,B6614,HOLLAND PANEL PRODUCTS,49423.0,ALLEGAN,"615 E 40TH ST, HOLLAND, MI","[-86.0802211, 42.7621969]",B6614,3.0
B6619,HOLLAND,7/9/2009,Rolled into ROP,B6619,TIARA YACHTS DIVISION OF S2 YACHTS,49423.0,ALLEGAN,"725 E. 40TH ST., HOLLAND, MI","[-86.0755794, 42.76413429999999]",B6619,4.0
B6619,HOLLAND,12/3/1997,Rolled into ROP,B6619,TIARA YACHTS DIVISION OF S2 YACHTS,49423.0,ALLEGAN,"725 E. 40TH ST., HOLLAND, MI","[-86.0755794, 42.76413429999999]",B6619,4.0
B6619,HOLLAND,5/4/2006,Rolled into ROP,B6619,TIARA YACHTS DIVISION OF S2 YACHTS,49423.0,ALLEGAN,"725 E. 40TH ST., HOLLAND, MI","[-86.0755794, 42.76413429999999]",B6619,4.0
B7186,HOLLAND,9/17/1998,Rolled into ROP,B7186,HAWORTH INC,49423.0,ALLEGAN,"ONE  HAWORTH CENTER, HOLLAND, MI","[-86.0834426, 42.7503662]",B7186,3.0
B7186,HOLLAND,5/2/2017,Rolled into ROP,B7186,HAWORTH INC,49423.0,ALLEGAN,"ONE  HAWORTH CENTER, HOLLAND, MI","[-86.0834426, 42.7503662]",B7186,3.0
B7711,HOLLAND,1/29/1997,Rolled into ROP,B7711,SHERWIN-WILLIAMS COMPANY,49423.0,ALLEGAN,"636 EAST 40TH STREET, HOLLAND, MI","[-86.0808346, 42.7611144]",B7711,3.0
B7711,HOLLAND,10/26/2000,Rolled into ROP,B7711,SHERWIN-WILLIAMS COMPANY,49423.0,ALLEGAN,"636 EAST 40TH STREET, HOLLAND, MI","[-86.0808346, 42.7611144]",B7711,3.0
B7711,HOLLAND,1/6/2005,Rolled into ROP,B7711,SHERWIN-WILLIAMS COMPANY,49423.0,ALLEGAN,"636 EAST 40TH STREET, HOLLAND, MI","[-86.0808346, 42.7611144]",B7711,3.0
B7711,HOLLAND,10/2/2008,Rolled into ROP,B7711,SHERWIN-WILLIAMS COMPANY,49423.0,ALLEGAN,"636 EAST 40TH STREET, HOLLAND, MI","[-86.0808346, 42.7611144]",B7711,3.0
B7711,HOLLAND,8/3/2004,,B7711,SHERWIN-WILLIAMS COMPANY,49423.0,ALLEGAN,"636 EAST 40TH STREET, HOLLAND, MI","[-86.0808346, 42.7611144]",B7711,3.0
N1744,HOLLAND,11/6/1997,,,,,,,,,
N1744,HOLLAND,11/1/2006,General PTI,,,,,,,,
N2003,HOLLAND,7/28/2011,,N2003,YANFENG US AUTOMOTIVE INTERIOR -SOUTHVIEW/PMSC/CW,49423.0,ALLEGAN,"1600 S. WASHINGTON AVE., HOLLAND, MI","[-86.11923, 42.744439]",N2003,2.0
N2003,HOLLAND,11/30/2000,,N2003,YANFENG US AUTOMOTIVE INTERIOR -SOUTHVIEW/PMSC/CW,49423.0,ALLEGAN,"1600 S. WASHINGTON AVE., HOLLAND, MI","[-86.11923, 42.744439]",N2003,2.0
N2586,HOLLAND,6/30/2000,Rolled into ROP,N2586,"HOLLAND BPW, 48TH STREET PEAKING STATION",49423.0,ALLEGAN,"491 E 48TH ST, HOLLAND, MI","[-86.0851766, 42.7552627]",N2586,3.0
N2586,HOLLAND,1/26/2001,Rolled into ROP,N2586,"HOLLAND BPW, 48TH STREET PEAKING STATION",49423.0,ALLEGAN,"491 E 48TH ST, HOLLAND, MI","[-86.0851766, 42.7552627]",N2586,3.0
N3355,HOLLAND,3/7/2007,General PTI,N3355,TECHNO-COAT INC.,49423.0,ALLEGAN,"861 EAST 40TH STREET, HOLLAND, MI","[-86.0703238, 42.7631927]",,0.0
N3355,HOLLAND,3/21/2014,,N3355,TECHNO-COAT INC.,49423.0,ALLEGAN,"861 EAST 40TH STREET, HOLLAND, MI","[-86.0703238, 42.7631927]",,0.0
N5455,HOLLAND,5/22/2000,Revised,N5455,MOTUS INTEGRATED TECHNOLOGIES - MAPLEWOOD FACILITY,49423.0,ALLEGAN,"88 EAST 48TH STREET, HOLLAND, MI","[-86.10383929999999, 42.7513073]",N5455,2.0
N5455,HOLLAND,7/1/2020,,N5455,MOTUS INTEGRATED TECHNOLOGIES - MAPLEWOOD FACILITY,49423.0,ALLEGAN,"88 EAST 48TH STREET, HOLLAND, MI","[-86.10383929999999, 42.7513073]",N5455,2.0
N6195,HOLLAND,1/17/1997,,N6195,OTTAWA GAGE INC,49423.0,ALLEGAN,"1271 LINCOLN AVE, HOLLAND, MI","[-86.09588029999999, 42.7533227]",,0.0
N7385,HOLLAND,11/23/2021,,N7385,"S&M GRAVEL, INC.",49417.0,OTTAWA,"14408 108TH, GRAND HAVEN, MI","[-86.05894219999999, 43.03016179999999]",,0.0
N7385,GRAND HAVEN,7/28/2004,General PTI,N7385,"S&M GRAVEL, INC.",49417.0,OTTAWA,"14408 108TH, GRAND HAVEN, MI","[-86.05894219999999, 43.03016179999999]",,0.0
N7385,HUDSONVILLE,10/12/2017,,N7385,"S&M GRAVEL, INC.",49417.0,OTTAWA,"14408 108TH, GRAND HAVEN, MI","[-86.05894219999999, 43.03016179999999]",,0.0
N7385,ZEELAND,8/23/2021,,N7385,"S&M GRAVEL, INC.",49417.0,OTTAWA,"14408 108TH, GRAND HAVEN, MI","[-86.05894219999999, 43.03016179999999]",,0.0
N7729,HOLLAND,6/21/2017,,N7729,MICHIGAN WOOD FUELS LLC,49423.0,ALLEGAN,"1125 INDUSTRIAL AVE, HOLLAND, MI","[-86.0882784, 42.7583591]",N7729,2.0
N8154,HOLLAND,11/7/2008,,N8154,SOUTHSIDE BODY SHOP INC,49423.0,ALLEGAN,"A-5220 141ST AVE, HOLLAND, MI","[-86.0585784, 42.7192916]",,0.0
P0087,HOLLAND,9/16/2021,,P0087,LG ENERGY SOLUTION MICHIGAN INC.,49423.0,ALLEGAN,"875 E 48TH ST (1 LG WAY), HOLLAND, MI","[-86.0680318, 42.7554419]",P0087,2.0
P0663,HOLLAND,3/25/2019,,P0663,WEST SHORE RECYCLING AND TRANSFER STATION LLC,49423.0,ALLEGAN,"4368 60TH STREET, HOLLAND, MI","[-86.13723039999999, 42.7374585]",,0.0
N8252,HOPKINS,6/26/2009,,N8252,BARBER CREEK SAND AND GRAVEL,49330.0,KENT,"15666 BARBER CREEK, KENT CITY, MI","[-85.72118370000001, 43.2499008]",,0.0
P0497,HOPKINS,1/24/2014,General PTI,P0497,FRED AND CONNIE HOLBROOK,49328.0,ALLEGAN,"1840 135TH STREET, HOPKINS, MI","[-85.72530599999999, 42.6743974]",,0.0
N5140,MARTIN,11/20/2018,,N5140,VAN ELDEREN INC,49070.0,ALLEGAN,"892 E ALLEGAN, MARTIN, MI","[-85.6313222, 42.537068]",,0.0
N5140,MARTIN,1/15/2020,,N5140,VAN ELDEREN INC,49070.0,ALLEGAN,"892 E ALLEGAN, MARTIN, MI","[-85.6313222, 42.537068]",,0.0
N6046,MIDDLEVILLE,9/14/1999,General PTI,,,,,,,,
N6652,MIDDLEVILLE,3/1/2000,General PTI,N6652,"STONECO INC., SOUTH KENT GRAVEL",49333.0,MONROE,"7555 WHITEFORD ROAD, OTTAWA LAKE, MI","[-83.6669865, 41.7511511]",,0.0
N6659,MIDDLEVILLE,3/1/2000,General PTI,,,,,,,,
N5998,MONTEREY TOWNSHIP,9/13/2000,General PTI,N5998,AGGREGATE INDUSTRIES - NB1 PORTABLE PLANT,49009.0,KALAMAZOO,"6000 WEST G AVENUE, KALAMAZOO, MI","[-85.6678922, 42.3324905]",,0.0
N5998,KALAMAZOO,9/23/2011,,N5998,AGGREGATE INDUSTRIES - NB1 PORTABLE PLANT,49009.0,KALAMAZOO,"6000 WEST G AVENUE, KALAMAZOO, MI","[-85.6678922, 42.3324905]",,0.0
N5998,ZEELAND,9/23/2011,,N5998,AGGREGATE INDUSTRIES - NB1 PORTABLE PLANT,49009.0,KALAMAZOO,"6000 WEST G AVENUE, KALAMAZOO, MI","[-85.6678922, 42.3324905]",,0.0
A0023,OTSEGO,4/12/2001,Rolled into ROP,A0023,OTSEGO PAPER INC,49078.0,ALLEGAN,"320 N FARMER ST., OTSEGO, MI","[-85.6940437, 42.46431399999999]",A0023,2.0
A0023,OTSEGO,10/18/2002,Rolled into ROP,A0023,OTSEGO PAPER INC,49078.0,ALLEGAN,"320 N FARMER ST., OTSEGO, MI","[-85.6940437, 42.46431399999999]",A0023,2.0
A0023,OTSEGO,5/14/2007,Rolled into ROP,A0023,OTSEGO PAPER INC,49078.0,ALLEGAN,"320 N FARMER ST., OTSEGO, MI","[-85.6940437, 42.46431399999999]",A0023,2.0
A0023,OTSEGO,4/22/2021,Rolled into ROP,A0023,OTSEGO PAPER INC,49078.0,ALLEGAN,"320 N FARMER ST., OTSEGO, MI","[-85.6940437, 42.46431399999999]",A0023,2.0
A0023,OTSEGO,2/1/2022,,A0023,OTSEGO PAPER INC,49078.0,ALLEGAN,"320 N FARMER ST., OTSEGO, MI","[-85.6940437, 42.46431399999999]",A0023,2.0
B6227,PLAINWELL,2/12/2015,,B6227,WYOMING ASPHALT PAVING INC,49080.0,ALLEGAN,"470  12TH ST, PLAINWELL, MI","[-85.6716948, 42.45489999999999]",B6227,1.0
B7244,PLAINWELL,1/18/2022,,B7244,"JBS PLAINWELL, INC.",49080.0,ALLEGAN,"11 11TH STREET, PLAINWELL, MI","[-85.64814349999999, 42.4230459]",B7244,1.0
N0656,PLAINWELL,5/3/2000,,,,,,,,,
N0656,PLAINWELL,3/18/2011,,,,,,,,,
N0656,PLAINWELL,3/28/2011,,,,,,,,,
N6045,PULLMAN,9/9/1999,General PTI,N6045,AGGREGATE INDUSTRIES - PULLMAN (SWEET) PLANT,48131.0,MONROE,"6211 ANN ARBOR ROAD, DUNDEE, MI","[-83.6750398, 41.985484]",,0.0
